V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	Title
-0.102154	-0.178311	0.164783	0.131477	0.077503	0.193942	-0.007815	-0.141949	-0.032318	-0.212704	-0.145409	-0.223996	-0.288011	-0.255138	-0.076525	-0.136158	0.090838	0.135177	0.102383	-0.041174	-0.412304	0.015473	-0.136165	-0.254044	0.133209	0.066784	-0.174866	-0.401055	-0.094587	0.034548	0.052923	0.079271	-0.077446	0.062425	0.001875	0.030503	0.036747	-0.015022	-0.010079	-0.016236	-0.003025	0.041729	-0.010719	-0.080595	0.016048	0.024267	-0.004399	0.072296	-0.055313	0.024406	0.003050	0.032704	-0.023127	0.028733	-0.025436	0.006162	-0.004460	0.006409	0.009793	0.006059	-0.005945	-0.000242	0.003118	-0.004134	-0.000690	-0.007637	0.003143	0.006887	-0.006278	-0.013069	Macbeth
-0.115180	0.077759	-0.228906	-0.026711	0.178718	0.259524	0.165329	0.142131	-0.012573	0.081054	0.143967	0.056775	-0.060226	-0.340403	-0.017209	0.310141	0.078701	0.005182	-0.104990	0.166485	-0.104170	-0.059653	-0.012363	-0.126392	0.200926	-0.142924	0.324517	0.008999	0.176830	-0.014604	0.060858	-0.102756	0.232912	0.129258	0.120285	-0.117943	-0.002501	-0.047209	-0.090256	0.072089	-0.101835	-0.177075	-0.129429	0.089489	0.119032	0.076305	-0.010555	0.018281	-0.141641	0.063348	-0.034761	0.042812	0.059814	-0.066377	-0.004364	-0.028258	0.000803	0.017319	0.000915	0.025139	-0.003659	-0.037142	0.033376	-0.001036	0.030161	-0.028468	-0.019799	-0.053475	-0.003864	-0.021701	Metamorphosis
-0.132006	0.120885	0.117261	0.006725	-0.023022	-0.002510	-0.023998	-0.025420	-0.064344	0.030657	0.016970	-0.026321	0.004478	-0.162283	0.066744	0.122369	0.039853	0.182234	-0.135023	-0.051319	0.042040	0.046221	-0.038493	0.068175	-0.008321	-0.028993	-0.073265	0.044797	0.102342	-0.080970	-0.053221	-0.017794	-0.053369	0.098928	-0.095107	0.069484	0.021613	0.062874	0.196459	-0.016427	0.080186	0.031804	-0.088476	-0.132489	0.021840	0.018866	-0.188881	0.062137	-0.041017	-0.362501	-0.242987	-0.121118	0.067941	0.040199	0.283386	-0.014227	-0.120936	-0.418940	0.051930	0.087970	0.229485	0.019923	-0.134998	0.208497	-0.168297	-0.001227	-0.149353	-0.034740	0.040746	-0.032347	Moby-Dick
-0.121306	0.060649	-0.046090	-0.001242	-0.013375	0.060588	0.020367	-0.032948	-0.058627	0.045542	-0.125484	0.045804	0.133757	-0.067959	0.019251	-0.110588	-0.012184	0.119051	0.028833	-0.095333	0.089981	-0.092252	-0.004653	0.008267	-0.003686	-0.105792	0.059383	-0.052509	-0.073047	-0.110791	-0.068393	-0.025013	0.046497	0.111846	0.037576	-0.037874	0.048090	0.004327	-0.069412	0.108212	0.011635	-0.203230	0.063119	-0.241063	-0.041283	-0.033285	0.022880	0.047398	0.090492	-0.138652	0.023121	-0.285638	-0.074822	0.298684	-0.099457	-0.046980	-0.325167	0.094865	0.422055	-0.301130	-0.193171	0.031290	0.054131	-0.065399	0.192442	0.017702	0.031885	-0.056304	-0.031579	-0.028474	Oliver Twist
-0.130997	-0.041440	0.089826	0.018932	0.136997	-0.068972	-0.345856	0.114475	-0.078590	0.219810	0.192958	0.071653	-0.117981	-0.203918	-0.397236	0.032670	-0.017467	-0.198772	0.028110	-0.082307	0.247406	-0.154670	-0.165305	0.002941	-0.055850	0.143038	-0.013561	-0.112440	-0.114468	0.160626	-0.035224	-0.202132	-0.201227	0.130887	0.157465	-0.061747	0.000543	0.052539	0.097244	0.015907	0.129277	0.015938	-0.042323	-0.052274	0.151967	-0.120302	0.020298	-0.179049	0.037787	0.082425	-0.018434	-0.039312	-0.089065	-0.051236	-0.006909	0.052890	-0.021769	-0.040831	-0.013911	-0.018821	-0.061193	-0.021877	0.031750	-0.011363	0.020064	-0.002589	-0.062239	0.012938	0.033416	-0.024789	On the Duty of Civil Disobediance
-0.094102	-0.292889	0.130993	0.107255	0.012142	0.140676	0.063260	-0.119064	0.075834	-0.171368	-0.145131	-0.273223	-0.304681	-0.084664	-0.142734	0.008404	0.368616	-0.106734	0.078575	-0.085144	0.395936	0.132432	0.163856	0.308378	-0.037910	-0.185800	0.090016	0.202325	0.080655	-0.084400	-0.045413	-0.040173	0.108229	-0.073974	0.026373	-0.020462	0.042190	-0.041926	-0.028810	0.042996	-0.009356	-0.003280	-0.000725	0.030356	-0.006318	-0.018047	0.019764	-0.007739	0.016344	0.020495	0.002589	-0.014930	0.003398	0.006341	-0.011459	0.013555	0.007400	0.004138	0.005682	0.011525	-0.000742	-0.004517	0.000173	0.009531	0.007446	0.001584	-0.001611	0.003980	-0.000003	0.001727	Othello
-0.097677	-0.001617	0.031968	0.290397	0.298526	-0.113807	0.066193	0.111127	-0.061383	-0.100941	0.012671	0.272854	-0.063655	-0.160110	0.332018	-0.110760	0.153247	0.031836	-0.041448	0.225363	0.038507	0.047729	0.184788	-0.023277	-0.426574	0.073748	-0.233867	0.011865	-0.030675	0.086111	0.027130	0.026308	0.046833	-0.045620	0.160371	-0.112377	-0.177429	-0.009611	-0.165269	-0.104662	-0.089730	0.020105	-0.088692	-0.112890	0.084871	-0.057704	0.059933	-0.052243	0.045403	0.008727	-0.074537	-0.051764	0.000550	-0.068579	-0.010650	0.004219	-0.015123	-0.013968	0.014900	-0.012107	0.003642	0.012793	0.025770	-0.024385	0.005490	0.012083	-0.036817	-0.019442	0.016411	0.008487	Paradise Lost
-0.132324	0.215694	-0.173834	0.316447	-0.118743	0.216259	-0.467130	-0.066559	0.629169	-0.233688	0.188282	-0.007434	0.051530	0.080547	0.046385	0.011955	0.004369	0.093512	0.045280	0.034096	0.017546	-0.015648	-0.037948	-0.034090	-0.038563	-0.061665	-0.001725	0.015762	-0.002611	-0.010231	0.000236	-0.033363	0.004698	0.009872	-0.014890	-0.012533	-0.005915	0.005861	-0.017304	0.018525	-0.010712	-0.013699	0.010774	0.000683	-0.002537	0.006240	0.025666	0.003533	-0.002409	-0.008198	-0.002656	-0.001210	0.000008	-0.009803	-0.000810	-0.003317	-0.004781	-0.008775	-0.002466	-0.005773	0.001971	0.004238	-0.004099	-0.004567	-0.007288	0.000320	-0.001589	-0.002314	0.001076	-0.001223	Peach Blossom Shangri-la: Tao Hua Yuan Ji
-0.138981	0.242301	0.314724	-0.149129	0.030650	-0.135856	-0.176222	-0.119933	-0.155403	-0.275968	-0.120406	-0.073029	0.231959	0.027973	-0.008370	0.320027	0.078342	-0.194363	0.357944	0.349195	-0.085655	-0.044766	0.146333	0.003011	0.125893	-0.171961	0.049474	-0.018443	-0.038480	-0.001747	-0.003274	-0.028036	-0.087393	0.002059	0.016481	-0.166961	-0.137511	0.081728	-0.021286	-0.029352	0.008727	-0.002414	0.028756	-0.056668	-0.039575	-0.068608	-0.026576	-0.006809	-0.012079	0.027452	0.025607	-0.016140	0.024128	0.002694	-0.013906	0.053331	-0.015460	0.001420	0.012667	0.020311	-0.029313	0.018829	0.003354	0.004497	-0.038243	0.015547	-0.003581	0.015458	0.006159	-0.008550	Peeps at Heraldry
-0.112474	-0.044475	-0.109386	-0.140521	0.270111	-0.049322	-0.055528	0.120653	0.087373	-0.040094	0.050501	-0.053491	0.019206	0.023108	0.072896	-0.075052	-0.023389	-0.175681	-0.121692	-0.012928	0.001377	-0.029390	0.182304	0.004980	0.137725	-0.115413	-0.114668	-0.131707	0.054744	0.044809	0.048541	-0.027593	0.113207	-0.127900	-0.059824	0.035468	0.077776	-0.051717	-0.013095	0.004293	0.142391	0.059106	0.216007	-0.167829	-0.018661	-0.079383	0.011116	-0.045691	-0.016766	-0.025965	-0.034086	0.137641	0.071265	0.385677	0.238056	-0.175695	0.190290	-0.188137	-0.072596	0.014652	-0.265516	-0.272673	0.140511	-0.027664	-0.020603	-0.091303	0.065105	0.087567	0.077336	-0.028313	Persuasion
